NameYear,Name,Pos,Age,TeamOrTot,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,ID,Team,SalClean,SalNorm
Semi_Ojeleye_2021,Semi Ojeleye,PF,27,TOT,30,0,13.5,1.0,3.3,.303,0.5,1.7,.300,0.5,1.6,.306,.379,0.8,1.0,.793,0.9,1.6,2.5,0.3,0.2,0.2,0.3,1.0,3.3,.505,2.9,1.4,-5.8,-1.6,12.0,0.3,.293,-4.1,7.2,-0.1,6.7,0.8,7.5,9.7,.438,12.8,-0.4,0.2,.029,"$1,789,256",/players/o/ojelese01.html,LAC,1.789256,
Chuma_Okeke_2021,Chuma Okeke,PF,23,ORL,70,20,25.0,3.1,8.2,.376,1.7,5.3,.318,1.4,2.9,.480,.478,0.8,0.9,.846,0.7,4.3,5.0,1.7,1.4,0.6,0.8,1.4,8.6,.645,10.1,2.2,-0.1,1.5,18.2,2.5,.113,-1.6,2.8,-0.3,12.0,2.7,8.6,10.5,.501,16.4,0.8,2.2,.060,"$3,277,080",/players/o/okekech01.html,ORL,3.27708,
Josh_Okogie_2021,Josh Okogie,SG,23,MIN,49,6,10.5,0.9,2.1,.404,0.3,1.0,.298,0.6,1.2,.491,.471,0.7,1.0,.686,0.6,0.8,1.4,0.5,0.5,0.2,0.5,1.1,2.7,.452,6.2,2.2,-2.7,0.9,8.7,0.5,.490,-3.7,5.9,0.1,9.0,2.4,15.4,7.3,.526,12.1,-0.1,0.7,.062,"$4,087,904",/players/o/okogijo01.html,MIN,4.087904,
Onyeka_Okongwu_2021,Onyeka Okongwu,C,21,ATL,48,6,20.7,3.3,4.7,.690,0.0,0.0,,3.3,4.7,.690,.690,1.7,2.3,.727,2.4,3.5,5.9,1.1,0.6,1.3,0.9,3.1,8.2,.000,7.6,5.4,0.8,0.8,18.4,1.1,.487,0.0,12.8,3.1,19.8,1.5,13.8,15.6,.714,14.0,0.7,4.2,.202,"$6,104,280",/players/o/okongon01.html,ATL,6.10428,
Isaac_Okoro_2021,Isaac Okoro,SF,21,CLE,67,61,29.6,3.1,6.4,.480,0.8,2.3,.350,2.3,4.1,.555,.544,1.8,2.3,.768,1.1,1.9,3.0,1.8,0.8,0.3,0.9,2.4,8.8,.364,8.5,1.0,-1.7,0.7,7.1,1.9,.360,-2.4,4.1,2.4,10.4,1.4,10.4,5.6,.589,12.4,0.1,4.2,.103,"$6,720,720",/players/o/okorois01.html,CLE,6.72072,
KZ_Okpala_2021,KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,.435,0.4,1.2,.346,1.0,2.0,.488,.500,0.4,0.5,.727,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7,.377,8.3,3.0,-2.8,0.4,13.7,0.3,.159,-3.2,5.2,0.2,10.4,0.8,6.3,9.5,.521,14.4,-0.1,0.5,.097,"$1,782,621",/players/o/okpalkz01.html,OKC,1.782621,
Victor_Oladipo_2021,Victor Oladipo,SG,29,MIA,8,1,21.6,4.4,9.1,.479,1.9,4.5,.417,2.5,4.6,.541,.582,1.8,2.4,.737,0.4,2.5,2.9,3.5,0.6,0.1,2.0,1.6,12.4,.493,26.3,0.6,1.3,-0.5,12.9,0.2,.260,1.8,2.0,0.2,16.8,1.4,16.4,7.5,.608,25.1,0.1,0.4,.124,"$2,389,641",/players/o/oladivi01.html,MIA,2.389641,
Cameron_Oliver_2021,Cameron Oliver,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5,.200,11.1,2.1,1.7,-0.6,10.1,0.0,.200,2.3,5.1,0.2,21.4,1.1,0.0,7.6,.705,16.6,0.0,0.2,.219,,/players/o/oliveca01.html,ATL,,
Kelly_Olynyk_2021,Kelly Olynyk,C,30,DET,40,1,19.1,3.2,7.2,.448,1.0,3.0,.336,2.2,4.2,.527,.517,1.7,2.2,.775,1.4,3.1,4.4,2.8,0.8,0.5,1.5,2.5,9.1,.416,23.3,2.2,1.6,1.0,18.3,0.8,.311,0.5,7.3,0.8,16.7,2.0,15.1,12.5,.561,21.5,0.7,1.6,.104,"$12,195,122",/players/o/olynyke01.html,DET,12.195122,
Eugene_Omoruyi_2021,Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8,.400,15.8,0.0,4.0,0.7,30.9,0.0,.800,3.3,12.3,0.1,17.0,0.0,0.0,21.6,.518,16.9,0.0,0.1,.201,,/players/o/omorueu01.html,DAL,,
