,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
160,123,Jarron Cumberland,SG,24,POR,3,0,4.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.7,.500,11.6,0.0,-6.6,-2.2,19.0,0.0,.000,-4.4,8.8,0.0,8.4,0.0,0.0,13.7,.500,7.2,0.0,0.0,.079
161,124,Cade Cunningham,PG,20,DET,64,64,32.6,6.7,16.1,.416,1.8,5.7,.314,4.9,10.4,.472,.471,2.2,2.6,.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1,17.4,.352,29.1,1.9,-1.6,-0.5,16.2,1.9,.163,-1.1,2.9,-2.4,13.1,1.8,17.5,9.2,.504,27.5,0.2,-0.5,-0.011
162,125,Seth Curry,SG,31,TOT,64,64,33.4,5.6,11.5,.487,2.5,5.8,.422,3.2,5.7,.553,.594,1.3,1.5,.872,0.3,2.8,3.1,3.6,0.8,0.2,1.7,2.3,15.0,.506,16.3,0.6,-0.6,-0.9,9.1,1.5,.127,0.3,1.1,2.7,13.7,1.2,12.3,5.2,.615,18.5,0.8,4.2,.095
163,125,Seth Curry,SG,31,PHI,45,45,34.8,5.7,11.7,.485,2.2,5.6,.400,3.5,6.2,.561,.580,1.4,1.6,.877,0.4,3.0,3.4,4.0,0.8,0.2,1.9,2.2,15.0,.473,17.7,0.6,-1.0,-0.9,9.4,1.1,.138,-0.1,1.2,1.7,13.3,1.1,13.0,5.4,.603,18.5,0.4,2.9,.088
164,125,Seth Curry,SG,31,BRK,19,19,29.9,5.5,11.1,.493,3.1,6.5,.468,2.4,4.6,.529,.630,0.9,1.1,.857,0.2,2.4,2.6,2.6,0.9,0.2,1.3,2.5,14.9,.588,12.5,0.5,0.7,-0.8,8.4,0.3,.100,1.5,0.8,1.0,14.6,1.4,10.2,4.7,.645,18.5,0.4,1.3,.112
165,126,Stephen Curry,PG,33,GSW,64,64,34.5,8.4,19.1,.437,4.5,11.7,.380,3.9,7.4,.527,.554,4.3,4.7,.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,.613,30.4,1.0,5.8,0.4,14.4,3.4,.243,5.4,1.7,4.6,21.4,1.9,13.2,8.3,.601,30.8,4.4,8.0,.173
166,127,Anthony Davis,C,28,LAL,40,40,35.1,9.3,17.4,.532,0.3,1.8,.186,8.9,15.6,.571,.542,4.4,6.1,.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,.101,14.7,5.7,3.8,1.2,22.0,2.0,.351,2.6,8.1,2.6,23.9,1.7,9.3,15.1,.578,27.1,2.0,4.5,.155
167,128,Ed Davis,C,32,CLE,31,3,6.5,0.4,0.5,.688,0.0,0.0,,0.4,0.5,.688,.688,0.2,0.5,.429,0.5,1.6,2.1,0.2,0.1,0.3,0.2,1.1,0.9,.000,4.5,4.0,-1.8,2.5,26.9,0.3,.875,-4.2,7.9,0.2,9.3,0.7,18.4,17.6,.632,6.0,0.0,0.5,.126
168,129,Terence Davis,SG,24,SAC,30,11,17.9,3.8,8.9,.423,1.6,5.0,.329,2.1,3.9,.542,.515,1.2,1.5,.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4,.558,11.9,1.8,-0.9,-0.4,17.0,0.5,.165,-0.6,2.2,0.0,14.6,2.2,10.3,9.5,.543,25.6,0.2,0.5,.044
169,130,Gabriel Deck,PF,26,OKC,7,0,8.0,1.1,2.0,.571,0.3,0.6,.500,0.9,1.4,.600,.643,0.0,0.0,,0.1,0.7,0.9,0.7,0.1,0.0,0.3,0.3,2.6,.286,13.7,0.0,-2.5,-1.3,9.3,0.0,.000,-1.2,1.8,0.1,11.5,0.9,12.5,5.5,.643,12.3,0.0,0.1,.080
