NameYear,Name,Pos,Type,OTm,PrevStats,NTm,ID,Weight,Height,Age,Tm,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PrevSal,NextSal,PrevYear
Patty_Mills_2020,Patty Mills,G,UFA,SAS,"10.8 Pts, 1.7 Reb, 2.4 Ast",BRK,/players/m/millspa02.html,180,6-1,32.0,SAS,68.0,1.0,24.8,0.412,2.4,0.375,6.3,1.0,0.91,1.1,0.3,1.7,2.4,0.6,0.0,1.0,10.8,18.4,0.57,11.8,1.3,0.8,2.2,0.062,0.0,-1.2,-1.2,0.4,"$13,535,714",0.0,2020
Kelly_Oubre_Jr_2020,Kelly Oubre Jr.,F,UFA,GSW,"15.4 Pts, 6.0 Reb, 1.3 Ast",CHO,/players/o/oubreke01.html,203,6-7,25.0,GSW,55.0,50.0,30.7,0.439,1.6,0.316,5.2,2.2,0.695,3.2,1.5,6.0,1.3,1.0,0.8,1.3,15.4,22.1,0.529,13.3,0.0,2.2,2.2,0.062,-1.4,-0.5,-1.9,0.0,"$14,375,000",0.0,2020
Gorgui_Dieng_2020,Gorgui Dieng,C,UFA,SAS,"6.8 Pts, 3.7 Reb, 1.3 Ast",ATL,/players/d/dienggo01.html,252,6-10,31.0,TOT,38.0,1.0,14.5,0.521,0.8,0.429,1.8,1.5,0.866,1.8,1.1,3.7,1.3,0.7,0.4,0.8,6.8,17.4,0.67,19.2,1.3,0.8,2.1,0.185,1.8,1.5,3.4,0.7,"$16,587,688$1,000,000",0.0,2020
Talen_Horton-Tucker_2020,Talen Horton-Tucker,G-F,RFA,LAL,"9.0 Pts, 2.6 Reb, 2.8 Ast",LAL,/players/h/hortota01.html,234,6-4,20.0,LAL,65,4,20.1,0.458,0.6,0.282,2.0,1.5,0.775,2.0,0.4,2.6,2.8,1.0,0.3,1.6,9.0,21.7,0.536,12.9,-0.1,2.2,2.1,0.078,-2.6,1.5,-1.2,0.3,"$1,517,981",0.0,2020
Andre_Drummond_2020,Andre Drummond,C,UFA,LAL,"14.9 Pts, 12.0 Reb, 2.0 Ast",PHI,/players/d/drumman01.html,279,6-10,27.0,TOT,46.0,46.0,27.0,0.493,0.0,0.0,0.2,2.7,0.6,4.5,3.6,12.0,2.0,1.4,1.1,2.7,14.9,27.6,0.519,19.4,-0.6,2.5,2.0,0.077,-1.7,0.5,-1.2,0.3,"$27,957,238$794,536",0.0,2020
James_Ennis_III_2020,James Ennis III,F,UFA,ORL,"8.4 Pts, 4.0 Reb, 1.5 Ast",LAC,/players/e/ennisja01.html,215,6-6,30.0,ORL,41.0,37.0,24.0,0.473,1.1,0.433,2.5,1.7,0.805,2.1,1.0,4.0,1.5,0.8,0.2,0.9,8.4,13.9,0.613,12.5,1.3,0.7,2.0,0.097,-1.9,-0.3,-2.2,-0.1,"$3,300,000",0.0,2020
Blake_Griffin_2020,Blake Griffin,F,UFA,BRK,"11.0 Pts, 4.9 Reb, 3.0 Ast",BRK,/players/g/griffbl01.html,250,6-9,31.0,TOT,46,30,25.8,.423,1.5,.341,4.5,1.9,.744,2.5,0.8,4.9,3.0,0.7,0.3,1.3,11.0,19.3,0.546,12.9,0.9,1.1,2.0,0.081,-0.8,0.0,-0.8,0.3,"$32,670,565$1,229,676",0.0,2020
Frank_Kaminsky_2020,Frank Kaminsky,F-C,UFA,PHO,"6.6 Pts, 4.0 Reb, 1.7 Ast",PHO,/players/k/kaminfr01.html,240,7-0,27.0,PHO,47.0,13.0,15.2,0.471,0.7,0.365,1.8,0.8,0.617,1.3,0.8,4.0,1.7,0.3,0.4,0.5,6.6,19.0,0.547,15.8,1.1,0.9,2.0,0.133,0.4,0.8,1.3,0.6,"$1,882,867",0.0,2020
Furkan_Korkmaz_2020,Furkan Korkmaz,G,UFA,PHI,"9.1 Pts, 2.1 Reb, 1.5 Ast",PHI,/players/k/korkmfu01.html,202,6-7,23.0,PHI,55,11,19.3,0.401,1.8,0.375,4.9,1.1,0.732,1.5,0.3,2.1,1.5,0.9,0.2,0.8,9.1,20.5,0.544,12.8,0.6,1.5,2.0,0.092,-0.3,0.2,-0.1,0.5,"$1,762,796",0.0,2020
Tony_Snell_2020,Tony Snell,G-F,UFA,ATL,"5.3 Pts, 2.4 Reb, 1.3 Ast",POR,/players/s/snellto01.html,213,6-6,29.0,ATL,47.0,23.0,21.1,0.515,1.3,0.569,2.3,0.2,1.0,0.2,0.4,2.4,1.3,0.3,0.2,0.4,5.3,8.6,0.708,9.5,1.6,0.5,2.0,0.099,-0.4,-0.1,-0.5,0.4,"$12,178,571",0.0,2020
Wayne_Ellington_2020,Wayne Ellington,G,UFA,DET,"9.6 Pts, 1.8 Reb, 1.5 Ast",LAL,/players/e/ellinwa01.html,207,6-4,33.0,DET,46.0,31.0,22.0,0.441,2.5,0.422,6.0,0.6,0.8,0.8,0.3,1.8,1.5,0.4,0.2,0.7,9.6,16.7,0.625,12.2,1.3,0.5,1.9,0.088,1.1,-1.3,-0.2,0.5,"$2,564,753$1,000,000",0.0,2020
Kent_Bazemore_2020,Kent Bazemore,G-F,UFA,GSW,"7.2 Pts, 3.4 Reb, 1.6 Ast",LAL,/players/b/bazemke01.html,195,6-4,31.0,GSW,67.0,18.0,19.9,0.449,1.1,0.408,2.7,0.8,0.692,1.2,0.4,3.4,1.6,1.0,0.5,1.2,7.2,16.3,0.564,10.6,-0.2,2.1,1.8,0.065,-2.9,1.7,-1.2,0.2,"$2,320,044",0.0,2020
Sterling_Brown_2020,Sterling Brown,G,UFA,HOU,"8.2 Pts, 4.4 Reb, 1.4 Ast",DAL,/players/b/brownst02.html,219,6-5,25.0,HOU,51.0,14.0,24.1,0.448,1.8,0.423,4.2,0.5,0.806,0.6,0.7,4.4,1.4,0.7,0.2,0.8,8.2,13.5,0.597,11.1,1.0,0.8,1.8,0.071,-1.6,0.0,-1.6,0.1,"$1,678,854",0.0,2020
Rudy_Gay_2020,Rudy Gay,F,UFA,SAS,"11.4 Pts, 4.8 Reb, 1.4 Ast",UTA,/players/g/gayru01.html,250,6-8,34.0,SAS,63.0,1.0,21.6,0.42,1.7,0.381,4.4,1.3,0.804,1.6,0.7,4.8,1.4,0.7,0.6,1.0,11.4,23.6,0.532,14.7,0.0,1.7,1.7,0.059,-0.1,0.0,-0.1,0.6,"$14,500,000",0.0,2020
Andre_Iguodala_2020,Andre Iguodala,G-F,UFA,MIA,"4.4 Pts, 3.5 Reb, 2.3 Ast",GSW,/players/i/iguodan01.html,215,6-6,37.0,MIA,63.0,5.0,21.3,0.383,1.0,0.33,2.9,0.4,0.658,0.6,0.6,3.5,2.3,0.9,0.6,1.1,4.4,11.2,0.519,9.2,-0.1,1.8,1.7,0.062,-2.2,1.8,-0.4,0.5,"$15,000,000",0.0,2020
Wesley_Matthews_2020,Wesley Matthews,G,UFA,LAL,"4.8 Pts, 1.6 Reb, 0.9 Ast",MIL,/players/m/matthwe02.html,220,6-4,34.0,LAL,58.0,10.0,19.5,0.353,1.1,0.335,3.4,0.6,0.854,0.7,0.3,1.6,0.9,0.7,0.3,0.4,4.8,11.4,0.517,7.2,0.2,1.5,1.7,0.073,-3.1,1.4,-1.7,0.1,"$3,623,000",0.0,2020
Gary_Trent_Jr_2020,Gary Trent Jr.,G,RFA,TOR,"15.3 Pts, 2.6 Reb, 1.4 Ast",TOR,/players/t/trentga02.html,209,6-5,22.0,TOT,58.0,38.0,31.1,0.408,2.8,0.385,7.4,1.4,0.783,1.8,0.5,2.6,1.4,1.0,0.2,0.7,15.3,20.9,0.534,12.1,1.0,0.7,1.7,0.045,-0.5,-1.7,-2.3,-0.1,"$1,663,861",0.0,2020
Lou_Williams_2020,Lou Williams,G,UFA,ATL,"11.3 Pts, 2.1 Reb, 3.4 Ast",,/players/w/willilo02.html,175,6-1,34.0,TOT,66.0,4.0,21.6,0.41,1.0,0.399,2.6,2.3,0.867,2.6,0.3,2.1,3.4,0.7,0.1,1.6,11.3,25.7,0.519,14.0,0.5,1.2,1.7,0.056,-1.0,-1.5,-2.5,-0.2,"$8,000,000",0.0,2020
Trevor_Ariza_2020,Trevor Ariza,F,UFA,MIA,"9.4 Pts, 4.8 Reb, 1.8 Ast",LAL,/players/a/arizatr01.html,215,6-8,35.0,MIA,30.0,27.0,28.0,0.411,1.7,0.35,4.8,1.1,0.773,1.5,0.9,4.8,1.8,1.0,0.6,0.7,9.4,15.1,0.542,11.9,0.5,1.0,1.6,0.091,-1.2,0.1,-1.1,0.2,"$12,800,000",0.0,2020
Hamidou_Diallo_2020,Hamidou Diallo,G,RFA,DET,"11.6 Pts, 5.2 Reb, 1.9 Ast",,/players/d/diallha01.html,202,6-5,22.0,TOT,52.0,9.0,23.6,0.477,0.5,0.341,1.6,2.5,0.64,3.8,1.1,5.2,1.9,0.8,0.5,1.5,11.6,22.2,0.541,14.3,0.3,1.3,1.6,0.063,-2.2,0.1,-2.1,0.0,"$1,663,861",0.0,2020
Isaiah_Hartenstein_2020,Isaiah Hartenstein,F,RFA,CLE,"5.1 Pts, 3.9 Reb, 1.2 Ast",LAC,/players/h/harteis01.html,250,7-0,22.0,TOT,46.0,2.0,12.2,0.55,0.0,0.333,0.1,1.0,0.648,1.5,1.4,3.9,1.2,0.4,0.8,1.0,5.1,19.2,0.583,17.9,0.7,0.9,1.6,0.134,-2.4,1.5,-0.9,0.2,"$1,620,564",0.0,2020
Markieff_Morris_2020,Markieff Morris,F,UFA,LAL,"6.7 Pts, 4.4 Reb, 1.2 Ast",MIA,/players/m/morrima02.html,245,6-9,31.0,LAL,61.0,27.0,19.7,0.405,1.1,0.311,3.4,0.6,0.72,0.8,0.8,4.4,1.2,0.4,0.3,0.9,6.7,16.4,0.509,9.3,-0.2,1.8,1.6,0.062,-2.9,0.3,-2.6,-0.2,"$2,331,593",0.0,2020
Jeff_Teague_2020,Jeff Teague,G,UFA,MIL,"6.7 Pts, 1.6 Reb, 2.4 Ast",,/players/t/teaguje01.html,195,6-3,32.0,TOT,55.0,7.0,17.3,0.433,0.7,0.439,1.5,1.6,0.848,1.9,0.3,1.6,2.4,0.6,0.2,1.2,6.7,17.7,0.562,12.3,0.8,0.8,1.6,0.079,-1.7,-0.5,-2.2,-0.1,"$2,564,753$808,073",0.0,2020
Garrett_Temple_2020,Garrett Temple,G,UFA,CHI,"7.6 Pts, 2.9 Reb, 2.2 Ast",NOP,/players/t/templga01.html,195,6-5,34.0,CHI,56,25,27.3,.415,1.2,.335,3.6,0.7,.800,0.9,0.5,2.9,2.2,0.8,0.5,1.0,7.6,13.1,0.525,8.2,0.2,1.4,1.6,0.05,-3.3,0.3,-3.1,-0.4,"$4,767,000",0.0,2020
Saben_Lee_2020,Saben Lee,G,RFA,DET,"5.6 Pts, 2.0 Reb, 3.6 Ast",DET,/players/l/leesa01.html,183,6-2,21.0,DET,48,7,16.3,0.471,0.2,0.348,0.5,1.3,0.685,1.9,0.4,2.0,3.6,0.7,0.3,1.1,5.6,17.0,0.536,13.8,0.7,0.8,1.5,0.091,-2.1,0.2,-2.0,0.0,< $Minimum,0.0,2020
George_Hill_2020,George Hill,G,UFA,PHI,"8.7 Pts, 2.0 Reb, 2.4 Ast",MIL,/players/h/hillge01.html,188,6-4,34.0,TOT,30.0,17.0,22.4,0.482,1.0,0.388,2.7,1.3,0.8,1.7,0.5,2.0,2.4,0.8,0.2,1.0,8.7,15.9,0.596,13.1,0.9,0.6,1.4,0.1,-1.0,-0.2,-1.2,0.1,"$9,590,602",0.0,2020
Edmond_Sumner_2020,Edmond Sumner,G,UFA,IND,"7.5 Pts, 1.8 Reb, 0.9 Ast",,/players/s/sumneed01.html,196,6-4,25.0,IND,53,24,16.2,0.525,0.7,0.398,1.7,1.3,0.819,1.6,0.3,1.8,0.9,0.6,0.2,1.0,7.5,18.3,0.626,12.7,0.7,0.7,1.4,0.077,-2.3,-0.5,-2.8,-0.2,"$2,160,000",0.0,2020
Goran_Dragic_2020,Goran Dragić,G,UFA,MIA,"13.4 Pts, 3.4 Reb, 4.4 Ast",MIA,/players/d/dragigo01.html,190,6-3,34.0,MIA,50.0,11.0,26.7,0.432,1.8,0.373,4.9,2.0,0.828,2.4,0.5,3.4,4.4,0.7,0.2,2.4,13.4,24.5,0.552,13.0,0.2,1.2,1.3,0.048,-1.1,-1.3,-2.3,-0.1,"$18,000,000",0.0,2020
Solomon_Hill_2020,Solomon Hill,F,UFA,ATL,"4.5 Pts, 3.0 Reb, 1.1 Ast",ATL,/players/h/hillso01.html,226,6-6,29.0,ATL,71.0,16.0,21.3,0.359,1.0,0.321,3.0,0.5,0.761,0.6,0.6,3.0,1.1,0.7,0.2,0.6,4.5,10.4,0.498,6.7,0.1,1.2,1.3,0.04,-3.0,0.5,-2.5,-0.2,"$2,174,318",0.0,2020
Mike_Muscala_2020,Mike Muscala,F-C,UFA,OKC,"9.7 Pts, 3.8 Reb, 0.8 Ast",OKC,/players/m/muscami01.html,240,6-10,29.0,OKC,35.0,0.0,18.4,0.446,1.9,0.37,5.3,0.9,0.917,1.0,0.5,3.8,0.8,0.2,0.3,0.6,9.7,20.0,0.599,14.7,0.9,0.4,1.3,0.096,0.9,-1.0,-0.1,0.3,"$2,283,034",0.0,2020
David_Nwaba_2020,David Nwaba,G,UFA,HOU,"9.2 Pts, 3.9 Reb, 1.0 Ast",HOU,/players/n/nwabada01.html,219,6-5,28.0,HOU,30.0,9.0,22.6,0.486,0.6,0.27,2.1,1.6,0.691,2.3,1.3,3.9,1.0,1.0,0.7,0.6,9.2,16.6,0.557,14.4,0.7,0.6,1.3,0.094,-1.4,0.6,-0.8,0.2,"$1,824,003",0.0,2020
Otto_Porter_Jr_2020,Otto Porter Jr.,F,UFA,ORL,"9.7 Pts, 5.4 Reb, 2.0 Ast",GSW,/players/p/porteot01.html,198,6-8,27.0,TOT,28.0,6.0,21.6,0.432,1.4,0.375,3.7,1.3,0.857,1.5,1.0,5.4,2.0,0.6,0.1,0.9,9.7,19.3,0.552,14.5,0.6,0.7,1.3,0.101,0.0,0.0,0.0,0.3,"$28,489,239",0.0,2020
Austin_Rivers_2020,Austin Rivers,G,UFA,DEN,"7.9 Pts, 2.3 Reb, 2.3 Ast",DEN,/players/r/riverau01.html,200,6-4,28.0,TOT,36.0,7.0,23.5,0.424,1.5,0.369,4.1,0.6,0.71,0.9,0.2,2.3,2.3,0.8,0.1,1.0,7.9,15.4,0.551,9.9,0.4,0.9,1.3,0.072,-2.2,0.3,-1.9,0.0,"$3,500,000$429,049",0.0,2020
Rajon_Rondo_2020,Rajon Rondo,G,UFA,MEM,"5.4 Pts, 2.4 Reb, 4.4 Ast",LAL,/players/r/rondora01.html,180,6-1,34.0,TOT,45.0,3.0,17.1,0.442,0.8,0.404,2.0,0.4,0.941,0.4,0.4,2.4,4.4,0.8,0.1,1.8,5.4,17.2,0.544,13.2,0.5,0.8,1.3,0.081,-0.5,0.3,-0.2,0.4,"$8,250,000",0.0,2020
DeAndre_Bembry_2020,DeAndre' Bembry,F,UFA,TOR,"5.7 Pts, 2.9 Reb, 2.1 Ast",BRK,/players/b/bembrde01.html,210,6-5,26.0,TOR,51.0,12.0,19.1,0.513,0.3,0.264,1.0,0.9,0.682,1.3,0.6,2.9,2.1,1.0,0.4,1.4,5.7,14.6,0.57,11.2,0.1,1.1,1.2,0.059,-3.2,1.4,-1.9,0.0,"$1,737,145",0.0,2020
DeMarcus_Cousins_2020,DeMarcus Cousins,C-F,UFA,LAC,"8.9 Pts, 6.4 Reb, 1.9 Ast",MIL,/players/c/couside01.html,270,6-10,30.0,TOT,41,11,17.4,.426,1.1,.348,3.3,1.4,.728,2.0,1.3,6.4,1.9,0.8,0.6,1.6,8.9,24.5,0.537,16.4,0.0,1.2,1.2,0.079,-1.2,1.6,0.4,0.4,"$2,331,593$654,762",0.0,2020
Frank_Jackson_2020,Frank Jackson,G,RFA,DET,"9.8 Pts, 2.2 Reb, 0.9 Ast",DET,/players/j/jacksfr01.html,205,6-3,22.0,DET,40,6,18.5,.457,1.5,.407,3.8,1.5,.813,1.9,0.4,2.2,0.9,0.4,0.0,0.9,9.8,21.3,0.598,13.2,0.7,0.4,1.2,0.076,-0.1,-1.6,-1.7,0.1,"$250,000< $Minimum",0.0,2020
James_Johnson_2020,James Johnson,F,UFA,NOP,"7.2 Pts, 3.5 Reb, 1.9 Ast",BRK,/players/j/johnsja01.html,240,6-7,33.0,TOT,51.0,12.0,20.5,0.446,0.6,0.258,2.4,0.9,0.592,1.5,0.6,3.5,1.9,0.8,0.8,1.1,7.2,17.1,0.51,11.4,-0.1,1.3,1.2,0.055,-2.7,1.5,-1.2,0.2,"$16,047,100",0.0,2020
Jordan_McLaughlin_2020,Jordan McLaughlin,G,RFA,MIN,"5.0 Pts, 2.1 Reb, 3.8 Ast",MIN,/players/m/mclaujo01.html,185,5-11,24.0,MIN,51,2,18.4,0.413,0.6,0.359,1.8,0.5,0.767,0.6,0.4,2.1,3.8,1.0,0.1,1.0,5.0,13.7,0.502,12.0,0.6,0.6,1.2,0.062,-2.0,0.2,-1.7,0.1,< $Minimum,0.0,2020
Mychal_Mulder_2020,Mychal Mulder,G-F,UFA,GSW,"5.6 Pts, 1.0 Reb, 0.4 Ast",MIA,/players/m/muldemy01.html,184,6-3,26.0,GSW,60.0,6.0,12.8,0.449,1.4,0.397,3.6,0.2,0.636,0.4,0.1,1.0,0.4,0.2,0.2,0.3,5.6,16.2,0.613,10.8,0.6,0.6,1.2,0.075,-0.6,-1.2,-1.8,0.0,"$1,517,981",0.0,2020
Semi_Ojeleye_2020,Semi Ojeleye,F,UFA,BOS,"4.6 Pts, 2.6 Reb, 0.7 Ast",MIL,/players/o/ojelese01.html,240,6-6,26.0,BOS,56.0,15.0,17.0,0.403,1.0,0.367,2.8,0.4,0.75,0.6,0.6,2.6,0.7,0.3,0.0,0.4,4.6,11.6,0.553,8.3,0.7,0.6,1.2,0.063,-1.7,-0.7,-2.4,-0.1,"$1,752,950",0.0,2020
Patrick_Patterson_2020,Patrick Patterson,F,UFA,LAC,"5.2 Pts, 2.0 Reb, 0.8 Ast",POR,/players/p/pattepa01.html,235,6-8,31.0,LAC,38.0,5.0,15.3,0.436,1.1,0.357,2.9,0.3,0.765,0.4,0.5,2.0,0.8,0.4,0.2,0.3,5.2,14.0,0.571,10.9,0.7,0.5,1.2,0.101,-0.4,-0.1,-0.6,0.2,"$3,077,704$737,067",0.0,2020
Moritz_Wagner_2020,Moritz Wagner,F-C,UFA,ORL,"6.9 Pts, 3.2 Reb, 1.1 Ast",ORL,/players/w/wagnemo01.html,245,6-11,23.0,TOT,45.0,24.0,16.0,0.454,0.7,0.341,2.0,1.6,0.816,1.9,0.6,3.2,1.1,0.6,0.4,1.0,6.9,18.1,0.58,12.5,0.5,0.8,1.2,0.082,-2.7,0.2,-2.6,-0.1,"$2,161,920$221,995",0.0,2020
Dewayne_Dedmon_2020,Dewayne Dedmon,C,UFA,MIA,"7.1 Pts, 5.4 Reb, 0.8 Ast",MIA,/players/d/dedmode01.html,245,7-0,31.0,MIA,16.0,0.0,13.1,0.708,0.1,0.2,0.3,1.3,0.741,1.7,1.8,5.4,0.8,0.6,0.4,0.8,7.1,19.3,0.735,24.5,0.7,0.4,1.1,0.256,1.2,0.5,1.7,0.2,"$2,866,667$580,811",0.0,2020
Javonte_Green_2020,Javonte Green,F,RFA,CHI,"3.6 Pts, 1.7 Reb, 0.4 Ast",CHI,/players/g/greenja02.html,205,6-4,27.0,TOT,41.0,2.0,11.5,0.52,0.2,0.333,0.7,0.7,0.75,1.0,0.6,1.7,0.4,0.7,0.1,0.5,3.6,12.6,0.61,12.1,0.5,0.6,1.1,0.107,-2.2,1.7,-0.5,0.2,"$1,517,981",0.0,2020
Ish_Smith_2020,Ish Smith,G,UFA,WAS,"6.7 Pts, 3.4 Reb, 3.9 Ast",CHO,/players/s/smithis01.html,175,6-0,32.0,WAS,44.0,1.0,21.0,0.434,0.4,0.367,1.1,0.4,0.576,0.8,0.5,3.4,3.9,0.7,0.3,0.9,6.7,15.8,0.473,11.6,0.2,0.9,1.1,0.056,-2.1,0.5,-1.5,0.1,"$6,000,000",0.0,2020
Aron_Baynes_2020,Aron Baynes,C,UFA,TOR,"6.1 Pts, 5.2 Reb, 0.9 Ast",,/players/b/baynear01.html,260,6-10,34.0,TOR,53.0,31.0,18.5,0.441,0.5,0.262,1.9,0.5,0.707,0.8,1.6,5.2,0.9,0.3,0.4,0.9,6.1,16.2,0.503,10.5,0.1,0.9,1.0,0.049,-3.4,-1.1,-4.5,-0.6,"$7,000,000",0.0,2020
Stanley_Johnson_2020,Stanley Johnson,F,UFA,TOR,"4.4 Pts, 2.5 Reb, 1.5 Ast",CHI,/players/j/johnsst04.html,242,6-6,24.0,TOR,61.0,13.0,16.5,0.382,0.7,0.328,2.2,0.7,0.8,0.9,0.5,2.5,1.5,0.9,0.3,0.9,4.4,13.4,0.519,8.8,-0.1,1.1,1.0,0.048,-3.8,1.2,-2.5,-0.1,"$3,804,150",0.0,2020
Boban_Marjanovic_2020,Boban Marjanović,C,UFA,DAL,"4.7 Pts, 3.9 Reb, 0.3 Ast",DAL,/players/m/marjabo01.html,290,7-3,32.0,DAL,33.0,3.0,8.2,0.508,0.0,0.125,0.2,0.9,0.816,1.2,1.4,3.9,0.3,0.1,0.2,0.4,4.7,24.6,0.562,22.6,0.7,0.3,1.0,0.183,1.9,-2.6,-0.8,0.1,"$3,500,000",0.0,2020
JaVale_McGee_2020,JaVale McGee,C,UFA,DEN,"7.3 Pts, 5.2 Reb, 0.8 Ast",PHO,/players/m/mcgeeja01.html,270,7-0,33.0,TOT,46.0,2.0,14.7,0.511,0.1,0.208,0.5,1.0,0.657,1.5,1.7,5.2,0.8,0.4,1.2,1.3,7.3,23.9,0.541,17.0,-0.1,1.1,1.0,0.068,-3.3,0.8,-2.5,-0.1,"$4,200,000",0.0,2020
Malik_Monk_2020,Malik Monk,G,UFA,CHO,"11.7 Pts, 2.4 Reb, 2.1 Ast",LAL,/players/m/monkma01.html,200,6-3,22.0,CHO,42.0,0.0,20.9,0.434,2.0,0.401,5.0,1.4,0.819,1.7,0.3,2.4,2.1,0.5,0.1,1.3,11.7,23.8,0.569,13.6,0.5,0.5,1.0,0.054,0.2,-2.0,-1.8,0.0,"$5,345,687",0.0,2020
Elfrid_Payton_2020,Elfrid Payton,G,UFA,NYK,"10.1 Pts, 3.4 Reb, 3.2 Ast",PHO,/players/p/paytoel01.html,195,6-3,26.0,NYK,63.0,63.0,23.6,0.432,0.4,0.286,1.6,1.2,0.682,1.7,1.0,3.4,3.2,0.7,0.1,1.6,10.1,23.2,0.478,11.7,-0.9,1.9,1.0,0.032,-2.9,-0.1,-3.0,-0.4,"$5,767,000",0.0,2020
Mike_Scott_2020,Mike Scott,F,UFA,PHI,"4.2 Pts, 2.4 Reb, 0.8 Ast",,/players/s/scottmi01.html,237,6-7,32.0,PHI,51.0,12.0,16.7,0.36,1.0,0.342,3.0,0.2,0.667,0.2,0.2,2.4,0.8,0.5,0.3,0.4,4.2,11.9,0.492,6.8,-0.1,1.1,1.0,0.058,-3.2,0.3,-2.8,-0.2,"$5,005,350",0.0,2020
PJ_Tucker_2020,P.J. Tucker,F,UFA,MIL,"3.7 Pts, 3.9 Reb, 1.2 Ast",MIA,/players/t/tuckepj01.html,245,6-5,35.0,TOT,52,33,26.1,.373,0.8,.336,2.3,0.4,.750,0.5,1.0,3.9,1.2,0.8,0.4,0.8,3.7,7.2,0.51,5.5,0.1,0.9,1.0,0.034,-4.6,0.5,-4.1,-0.7,"$7,969,537",0.0,2020
Ryan_Arcidiacono_2020,Ryan Arcidiacono,G,UFA,CHI,"3.1 Pts, 1.5 Reb, 1.3 Ast",BOS,/players/a/arcidry01.html,195,6-3,26.0,CHI,44.0,0.0,10.2,0.419,0.6,0.373,1.5,0.3,0.65,0.5,0.1,1.5,1.3,0.2,0.0,0.2,3.1,13.1,0.541,9.8,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0.0,"$3,000,000",0.0,2020
Nemanja_Bjelica_2020,Nemanja Bjelica,F,UFA,MIA,"6.5 Pts, 3.4 Reb, 1.9 Ast",GSW,/players/b/bjeline01.html,234,6-10,32.0,TOT,37.0,3.0,16.1,0.454,0.7,0.318,2.3,1.0,0.725,1.4,0.8,3.4,1.9,0.4,0.1,0.9,6.5,18.4,0.554,12.9,0.5,0.3,0.9,0.071,-1.4,-0.8,-2.2,0.0,"$7,150,000",0.0,2020
Langston_Galloway_2020,Langston Galloway,G,UFA,PHO,"4.8 Pts, 1.1 Reb, 0.7 Ast",GSW,/players/g/gallola01.html,200,6-1,29.0,PHO,40.0,0.0,11.0,0.449,0.9,0.424,2.1,0.6,0.957,0.6,0.2,1.1,0.7,0.2,0.0,0.3,4.8,17.3,0.605,12.1,0.6,0.3,0.9,0.096,-0.1,-0.8,-0.9,0.1,"$2,028,594",0.0,2020
Freddie_Gillespie_2020,Freddie Gillespie,F,UFA,TOR,"5.6 Pts, 4.9 Reb, 0.5 Ast",ORL,/players/g/gillefr01.html,245,6-9,23.0,TOR,20.0,2.0,19.6,0.524,0.0,,0.0,1.2,0.697,1.7,2.1,4.9,0.5,0.7,1.0,0.6,5.6,12.2,0.563,13.4,0.5,0.5,0.9,0.116,-3.1,-0.1,-3.2,-0.1,"$239,959",0.0,2020
Alize_Johnson_2020,Alize Johnson,F,UFA,BRK,"5.2 Pts, 5.0 Reb, 0.8 Ast",CHI,/players/j/johnsal02.html,212,6-7,24.0,BRK,18.0,0.0,10.5,0.588,0.1,0.167,0.3,0.7,1.0,0.7,1.5,5.0,0.8,0.3,0.3,0.5,5.2,19.1,0.638,23.5,0.6,0.3,0.9,0.227,2.7,0.0,2.7,0.2,"$399,591$221,996",0.0,2020
Max_Strus_2020,Max Strus,G,RFA,MIA,"6.1 Pts, 1.1 Reb, 0.6 Ast",MIA,/players/s/strusma01.html,215,6-5,24.0,MIA,39.0,0.0,13.0,0.455,1.3,0.338,3.8,0.4,0.667,0.6,0.1,1.1,0.6,0.3,0.1,0.2,6.1,18.3,0.597,12.1,0.6,0.3,0.9,0.088,-0.5,-1.7,-2.2,0.0,< $Minimum,0.0,2020
Brad_Wanamaker_2020,Brad Wanamaker,G,UFA,CHO,"5.5 Pts, 1.7 Reb, 2.9 Ast",IND,/players/w/wanambr01.html,210,6-3,31.0,TOT,61.0,0.0,17.3,0.385,0.3,0.188,1.4,1.5,0.891,1.7,0.3,1.7,2.9,0.7,0.2,1.2,5.5,16.9,0.489,9.5,-0.2,1.0,0.9,0.039,-4.4,0.3,-4.0,-0.5,"$2,250,000",0.0,2020
Hassan_Whiteside_2020,Hassan Whiteside,C,UFA,SAC,"8.1 Pts, 6.0 Reb, 0.6 Ast",UTA,/players/w/whiteha01.html,265,7-0,31.0,SAC,36,4,15.2,.563,0.0,.000,0.0,1.1,.519,2.2,1.7,6.0,0.6,0.3,1.3,1.1,8.1,23.5,0.566,19.2,0.3,0.6,0.9,0.081,-1.8,-0.4,-2.2,0.0,"$2,320,044",0.0,2020
Ed_Davis_2020,Ed Davis,F,UFA,MIN,"2.1 Pts, 5.0 Reb, 0.9 Ast",CLE,/players/d/davised01.html,218,6-9,31.0,MIN,23.0,7.0,13.0,0.432,0.0,,0.0,0.4,0.833,0.5,2.0,5.0,0.9,0.6,0.6,0.3,2.1,7.9,0.487,13.1,0.5,0.4,0.8,0.135,-3.3,1.1,-2.2,0.0,"$5,005,350",0.0,2020
