,Name,CurrentSalary,CurrentTeam
13,Caleb Martin,"$527,614",MIA
14,Haywood Highsmith,"$290,967",MIA
18,Ryan Anderson,"$5,214,584",MIA
0,Kevin Durant,"$40,918,900",BRK
1,Kyrie Irving,"$34,916,200",BRK
2,Ben Simmons,"$31,590,000",BRK
3,Joe Harris,"$17,357,143",BRK
4,Seth Curry,"$8,186,047",BRK
5,Patty Mills,"$5,890,000",BRK
6,Bruce Brown,"$4,736,102",BRK
7,LaMarcus Aldridge,"$2,641,691",BRK
8,Blake Griffin,"$2,641,691",BRK
9,Andre Drummond,"$2,401,537",BRK
10,Cam Thomas,"$2,036,280",BRK
11,Day'Ron Sharpe,"$2,009,040",BRK
12,Nic Claxton,"$1,782,621",BRK
13,Goran Dragić,"$728,742",BRK
14,Kessler Edwards,"$5,318",BRK
18,James Johnson,"$2,641,691",BRK
0,CJ McCollum,"$30,864,198",NOP
1,Brandon Ingram,"$29,467,800",NOP
2,Jonas Valančiūnas,"$14,000,000",NOP
3,Devonte' Graham,"$11,000,000",NOP
4,Zion Williamson,"$10,733,400",NOP
5,Larry Nance Jr.,"$10,690,909",NOP
6,Jaxson Hayes,"$5,348,280",NOP
7,Garrett Temple,"$4,910,000",NOP
8,Kira Lewis Jr.,"$3,822,240",NOP
9,Trey Murphy III,"$3,053,760",NOP
10,Tony Snell,"$2,389,641",NOP
11,Willy Hernangómez,"$2,327,220",NOP
12,Herbert Jones,"$1,700,000",NOP
13,Naji Marshall,"$1,517,981",NOP
14,Jose Alvarado,"$1,500,000",NOP
15,Gary Clark,"$377,645",NOP
0,Giannis Antetokounmpo,"$39,344,970",MIL
1,Khris Middleton,"$35,500,000",MIL
2,Jrue Holiday,"$30,133,333",MIL
3,Brook Lopez,"$13,302,325",MIL
4,Serge Ibaka,"$9,742,000",MIL
5,Pat Connaughton,"$5,333,333",MIL
6,Bobby Portis,"$4,347,600",MIL
7,Grayson Allen,"$4,054,695",MIL
8,George Hill,"$4,000,000",MIL
9,Wesley Matthews,"$1,958,501",MIL
10,Thanasis Antetokounmpo,"$1,729,217",MIL
11,Jordan Nwora,"$1,517,981",MIL
12,Jevon Carter,"$457,149",MIL
13,Luca Vildoza,"$51,347",MIL
14,Rayjon Tucker,"$28,779",MIL
18,Jon Leuer,"$3,169,347",MIL
19,Larry Sanders,"$1,865,547",MIL
21,DeAndre' Bembry,"$601,867",MIL
22,Georgios Kalaitzakis,"$462,629",MIL
0,Kevin Love,"$31,300,000",CLE
1,Jarrett Allen,"$20,000,000",CLE
2,Caris LeVert,"$17,500,000",CLE
3,Lauri Markkanen,"$15,690,909",CLE
4,Evan Mobley,"$8,075,160",CLE
5,Cedi Osman,"$8,050,000",CLE
6,Darius Garland,"$7,040,880",CLE
7,Isaac Okoro,"$6,720,720",CLE
8,Collin Sexton,"$6,349,671",CLE
9,Ed Davis,"$2,641,691",CLE
10,Rajon Rondo,"$2,641,691",CLE
11,Dylan Windler,"$2,239,200",CLE
12,Dean Wade,"$1,782,621",CLE
13,Lamar Stevens,"$1,517,981",CLE
14,RJ Nembhard Jr.,"$58,493",CLE
15,Moses Brown,"$19,186",CLE
19,Kevin Pangos,"$1,669,178",CLE
20,J.R. Smith,"$1,456,666",CLE
0,Russell Westbrook,"$44,211,146",LAL
1,LeBron James,"$41,180,544",LAL
2,Anthony Davis,"$35,361,360",LAL
3,Talen Horton-Tucker,"$9,500,000",LAL
4,Kendrick Nunn,"$5,000,000",LAL
