,Name,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,ID,Team,SalClean,FG%_,FT%_,TS%_,3P%_,G_pct,GS_pct,GS/G,Sal_class,Sal_class_predict,Sal_class_predict_proba,Height,Weight,Surplus_value,SalFinal,Max_proba
70,Dillon Brooks,SF,26,32,31,27.7,7.1,16.4,0.432,1.4,4.7,0.309,5.7,11.8,0.48,0.475,2.8,3.3,0.849,0.9,2.3,3.2,2.8,1.1,0.3,1.6,3.3,18.4,0.283,15.4,0.8,-1.8,-0.8,8.8,0.9,0.202,-1.0,3.4,0.7,15.5,1.9,8.0,6.0,0.515,28.8,0.0,1.6,0.087,/players/b/brookdi01.html,MEM,12.2,0.423,0.806,0.529,0.353,0.3902439024390244,0.3780487804878049,0.96875,10,15,"[0.13992683097909678, 0.15145313785581105, 0.17015170633727783, 0.17794343737101917, 0.1616543570936076, 0.102017101554194, 0.0968534288089935]",6-7,225,2.8000000000000007,12.2,0.17794343737101917
71,Bruce Brown,SF,25,72,45,24.6,3.6,7.0,0.506,0.5,1.3,0.404,3.0,5.7,0.529,0.543,1.3,1.8,0.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9.0,0.186,11.5,2.6,0.7,1.1,14.7,2.0,0.253,-0.4,6.3,2.8,15.0,2.1,9.1,10.6,0.575,15.0,1.2,4.8,0.13,/players/b/brownbr01.html,BRK,4.736102,0.42,0.75,0.504,0.294,0.8780487804878049,0.5487804878048781,0.625,0,5,"[0.15774872042242832, 0.24736086728640969, 0.23148116300560803, 0.2080438568294325, 0.10113543939518153, 0.042282983973246986, 0.01194696908769284]",6-4,202,0.2638980000000002,4.736102,0.24736086728640969
72,Charlie Brown Jr.,SG,24,22,2,8.0,0.5,1.8,0.256,0.0,0.5,0.083,0.4,1.2,0.333,0.269,0.4,0.5,0.9,0.6,0.8,1.5,0.3,0.5,0.2,0.2,0.8,1.4,0.308,4.5,2.0,-4.8,0.4,11.2,0.2,0.256,-5.2,9.0,-0.2,6.5,2.8,10.3,10.1,0.346,12.3,-0.1,0.0,0.012,/players/b/brownch02.html,PHI,0.19186,0.413,0.857,0.525,0.36,0.2682926829268293,0.024390243902439,0.0909090909090909,0,0,"[0.5195399931054931, 0.2659392798929234, 0.11483358295129674, 0.06972684591029955, 0.026836755574538892, 0.0018980517747820558, 0.0012254907906653247]",6-6,199,0.0,0.19186,0.5195399931054931
73,Chaundee Brown Jr.,SG,23,5,2,20.8,2.0,6.4,0.313,1.2,3.6,0.333,0.8,2.8,0.286,0.406,1.0,1.2,0.833,0.2,3.0,3.2,0.8,0.4,0.0,0.2,1.4,6.2,0.563,5.1,0.0,-6.6,-2.4,15.7,0.0,0.188,-4.3,1.1,0.0,6.4,0.9,2.8,8.4,0.447,14.9,-0.1,0.0,0.002,/players/b/brownch05.html,ATL,0.053176,0.43,0.781,0.496,0.319,0.0609756097560975,0.024390243902439,0.4,0,0,"[0.43081977792106646, 0.2729804311011973, 0.1516851352849448, 0.0948123509233639, 0.04088253702227359, 0.0061850819473041755, 0.0026346857998502107]",6-5,215,0.0,0.053176,0.43081977792106646
74,Greg Brown III,SF,20,48,6,13.3,1.7,4.0,0.426,0.4,1.3,0.311,1.3,2.7,0.481,0.476,0.9,1.4,0.677,0.8,2.0,2.8,0.7,0.5,0.5,0.8,1.9,4.7,0.321,8.1,3.7,-4.7,-0.7,17.3,0.5,0.342,-4.0,6.3,-0.1,11.0,2.0,14.1,11.6,0.515,17.2,-0.4,0.4,0.029,/players/b/browngr01.html,POR,0.925258,0.402,0.733,0.563,0.414,0.5853658536585366,0.073170731707317,0.125,0,0,"[0.5158824943042364, 0.26687963956297217, 0.11659848691342713, 0.07030982433351009, 0.027145260655715552, 0.0019440877731495703, 0.001240206456988243]",6-9,205,0.0,0.925258,0.5158824943042364
75,Jaylen Brown,SF,25,66,66,33.6,8.7,18.4,0.473,2.5,7.0,0.358,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,0.381,17.9,0.7,2.1,0.1,16.7,3.4,0.261,1.9,2.6,2.3,18.9,1.6,11.6,9.8,0.574,30.5,2.2,5.8,0.124,/players/b/brownja02.html,BOS,24.830357,0.532,0.743,0.584,0.419,0.8048780487804879,0.8048780487804879,1.0,20,30,"[0.01511421745678176, 0.04502723427458839, 0.08975973652910128, 0.10491200443425489, 0.1969076381691501, 0.22674091534543425, 0.3215382537906895]",6-6,223,5.169643000000001,24.830357,0.3215382537906895
76,Moses Brown,C,22,40,6,8.6,1.6,2.7,0.593,0.0,0.0,,1.6,2.7,0.593,0.593,1.1,1.8,0.597,1.0,2.4,3.4,0.0,0.2,0.4,0.5,1.3,4.3,0.0,0.4,4.2,-3.3,-0.9,30.5,0.7,0.667,-2.4,12.7,0.5,18.5,1.0,12.5,21.7,0.612,20.7,-0.1,1.2,0.16,/players/b/brownmo01.html,CLE,1.912639,0.455,0.855,0.559,0.372,0.4878048780487805,0.073170731707317,0.15,0,0,"[0.49623191607295347, 0.2673514114780209, 0.12039065433045044, 0.07655386007052649, 0.03378772294901147, 0.0036019016053710413, 0.0020825334936652525]",7-2,245,0.0,1.912639,0.49623191607295347
77,Sterling Brown,SG,26,49,3,12.8,1.2,3.2,0.381,0.6,1.9,0.304,0.6,1.3,0.492,0.471,0.3,0.3,0.933,0.5,2.5,3.0,0.7,0.3,0.1,0.5,1.1,3.3,0.594,7.5,1.0,-2.9,0.5,21.8,0.9,0.097,-3.4,4.6,-0.1,8.4,1.1,12.5,13.2,0.495,13.2,-0.1,0.8,0.061,/players/b/brownst02.html,DAL,3.0,0.534,0.75,0.588,0.0,0.5975609756097561,0.0365853658536585,0.0612244897959183,0,0,"[0.5177174281245124, 0.2668888863951983, 0.1153290997840123, 0.06997027163569247, 0.026950372737479918, 0.0019015575173188773, 0.0012423838057846084]",6-5,219,0.0,3.0,0.5177174281245124
78,Troy Brown Jr.,SF,22,66,7,16.0,1.6,3.9,0.419,0.7,2.0,0.353,0.9,1.9,0.488,0.51,0.3,0.4,0.769,0.6,2.5,3.1,1.0,0.5,0.1,0.4,0.9,4.3,0.516,8.2,0.4,-1.8,-0.2,17.4,0.9,0.101,-1.7,4.2,0.5,10.1,1.7,8.8,10.8,0.525,12.3,0.1,1.4,0.065,/players/b/browntr01.html,CHI,5.170564,0.359,0.75,0.479,0.313,0.8048780487804879,0.0853658536585365,0.106060606060606,5,0,"[0.4987228027993416, 0.2743823442425695, 0.12017543795865625, 0.07461021735274007, 0.028464205633045244, 0.0022622567580960224, 0.0013827352555504863]",6-6,215,-0.17056399999999972,5.170564,0.4987228027993416
79,Jalen Brunson,PG,25,79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3,0.25,24.3,0.1,0.9,0.0,11.7,2.7,0.211,0.9,1.9,4.9,17.1,1.3,10.1,6.8,0.583,21.9,1.9,7.5,0.143,/players/b/brunsja01.html,DAL,1.802057,0.424,0.646,0.507,0.395,0.9634146341463414,0.7439024390243902,0.7721518987341772,0,20,"[0.047880530938067344, 0.09715343141066489, 0.1579590578625505, 0.18872951379873787, 0.20010146853345268, 0.19373987138421367, 0.1144361260723135]",6-1,190,18.0,1.802057,0.20010146853345268
80,Thomas Bryant,C,24,27,9,16.3,2.9,5.5,0.52,0.4,1.6,0.286,2.4,3.9,0.613,0.561,1.3,1.5,0.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4,0.284,7.9,4.1,-1.0,-0.7,20.4,0.4,0.27,-0.4,6.7,0.7,16.6,0.7,10.3,13.6,0.607,18.7,0.1,1.1,0.118,/players/b/bryanth01.html,WAS,8.666667,0.423,0.8,0.573,0.396,0.3292682926829268,0.1097560975609756,0.3333333333333333,5,0,"[0.42193238361308333, 0.2739998662423324, 0.14025680543949262, 0.10198547476085498, 0.049656663026125876, 0.008447976702019997, 0.003720830216089636]",6-10,248,-3.6666670000000003,8.666667,0.42193238361308333
81,Shaq Buchanan,PG,25,2,0,5.0,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,24.9,0.0,-11.2,0.1,10.7,0.0,0.0,-11.2,10.2,-0.1,0.6,4.8,33.3,10.5,0.25,24.6,0.0,0.0,-0.23,/players/b/buchash01.html,MEM,0.053176,0.44,0.63,0.509,0.337,0.024390243902439,0.0,0.0,0,0,"[0.5073740364724042, 0.2544239043217935, 0.11808105914287413, 0.07649124142803607, 0.03632308632935786, 0.00461030246721689, 0.002696369838316426]",6-3,190,0.0,0.053176,0.5073740364724042
82,Reggie Bullock,SF,30,68,37,28.0,3.0,7.4,0.401,2.1,5.8,0.36,0.9,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6,0.782,6.1,0.7,-1.4,0.0,12.2,2.0,0.096,-1.4,1.9,1.2,9.2,1.1,7.1,7.0,0.558,13.3,0.3,3.2,0.08,/players/b/bullore01.html,DAL,9.536,0.44,0.892,0.559,0.411,0.8292682926829268,0.4512195121951219,0.5441176470588235,5,0,"[0.260996568891861, 0.2553442346247845, 0.20275440834751615, 0.16534521414941192, 0.07967763343317309, 0.02698750963014607, 0.008894430923107028]",6-6,205,-4.536,9.536,0.260996568891861
83,Trey Burke,PG,29,42,0,10.5,2.0,5.1,0.391,0.6,2.0,0.317,1.4,3.2,0.436,0.451,0.5,0.5,0.87,0.1,0.7,0.8,1.4,0.3,0.0,0.6,0.9,5.1,0.381,20.7,0.0,-5.0,-1.4,7.3,0.4,0.107,-3.6,1.0,-0.4,10.0,1.4,10.4,4.2,0.475,25.6,-0.3,0.0,0.003,/players/b/burketr01.html,DAL,3.15,0.446,0.688,0.518,0.308,0.5121951219512195,0.0,0.0,0,0,"[0.5048498759708215, 0.2552436651927464, 0.11881667556746353, 0.07661138883001244, 0.036552714736169896, 0.005098797761354369, 0.002826881941430702]",6-0,185,0.0,3.15,0.5048498759708215
84,Alec Burks,SG,30,81,44,28.6,3.5,9.0,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7,0.534,15.7,1.1,0.8,1.2,16.6,2.9,0.363,-0.4,2.1,3.2,13.7,1.8,9.7,9.2,0.559,17.7,1.7,6.1,0.126,/players/b/burksal01.html,NYK,9.536,0.38,0.797,0.51,0.39,0.9878048780487804,0.5365853658536586,0.5432098765432098,5,15,"[0.11227363925487269, 0.1965718599074441, 0.2251365778646738, 0.22777867419359318, 0.1373571948206391, 0.07829382085540389, 0.022588233103373188]",6-6,214,5.464,9.536,0.22777867419359318
