,Name,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,ID,Team,SalClean,FG%_,FT%_,TS%_,3P%_,G_pct,GS_pct,GS/G,Sal_class,Sal_class_predict,Sal_class_predict_proba,Height,Weight,Surplus_value,SalFinal,Max_proba
342,Trey Lyles,PF,26,75,23,20.5,3.5,7.5,0.466,0.9,2.8,0.321,2.6,4.7,0.552,0.526,2.6,3.2,0.802,1.2,3.9,5.1,1.2,0.4,0.4,1.0,1.6,10.5,0.372,9.0,1.9,-0.3,-0.8,21.2,1.2,0.432,0.5,6.0,2.4,16.4,0.9,9.8,13.4,0.588,20.7,0.7,3.5,0.111,/players/l/lylestr01.html,SAC,2.5,0.418,0.65,0.526,0.364,0.9146341463414634,0.2804878048780488,0.3066666666666666,0,5,"[0.21724683907359185, 0.2671333069016837, 0.21303293345012367, 0.1791947202644277, 0.0863032209890164, 0.027847673980469015, 0.009241305340686474]",6-9,234,2.5,2.5,0.2671333069016837
343,Théo Maledon,PG,20,51,7,17.8,2.3,6.2,0.375,0.9,2.9,0.293,1.5,3.3,0.449,0.445,1.5,2.0,0.79,0.4,2.2,2.6,2.2,0.6,0.2,1.3,1.3,7.1,0.473,18.5,1.1,-4.4,-0.7,12.8,0.8,0.315,-3.7,2.2,-0.5,10.6,1.7,15.3,7.4,0.5,20.3,-0.6,0.3,0.015,/players/m/maledth01.html,OKC,2.0,0.419,0.758,0.485,0.326,0.6219512195121951,0.0853658536585365,0.1372549019607843,0,0,"[0.46338342444649105, 0.278964301705914, 0.1343831550449726, 0.08206747674802348, 0.03558173112918347, 0.003643712613226311, 0.0019761983121890946]",6-4,175,0.0,2.0,0.46338342444649105
344,Sandro Mamukelashvili,PF,22,41,3,9.9,1.4,2.8,0.496,0.5,1.3,0.423,0.9,1.5,0.556,0.591,0.4,0.5,0.818,0.9,1.1,2.0,0.5,0.2,0.2,0.4,0.7,3.8,0.452,7.4,2.1,-0.3,-1.0,12.0,0.3,0.191,0.6,9.3,0.8,14.7,1.1,10.7,10.7,0.618,14.6,0.2,1.1,0.135,/players/m/mamuksa01.html,MIL,0.0,0.516,0.61,0.531,0.0,0.5,0.0365853658536585,0.073170731707317,0,0,"[0.4500235704034733, 0.2685656718544728, 0.1300991226076963, 0.09472345178193302, 0.04504085168445936, 0.008219942976189333, 0.003327388691774521]",6-11,240,0.0,0.0,0.4500235704034733
345,Terance Mann,SF,25,81,33,28.6,4.1,8.5,0.484,0.9,2.6,0.365,3.2,6.0,0.535,0.539,1.6,2.0,0.78,1.3,4.0,5.2,2.6,0.7,0.3,1.0,2.2,10.8,0.301,13.1,0.8,-0.6,0.2,14.3,2.4,0.238,-0.8,4.9,3.1,13.4,1.2,9.9,9.7,0.572,16.0,0.8,5.5,0.113,/players/m/mannte01.html,LAC,1.782621,0.39,0.789,0.55,0.365,0.9878048780487804,0.4024390243902439,0.4074074074074074,0,10,"[0.13810004090762668, 0.21993864678165506, 0.22944361812922973, 0.2112844244004586, 0.12224715740046956, 0.061032190889895324, 0.017953921490665676]",6-5,215,8.0,1.782621,0.22944361812922973
346,Tre Mann,PG,20,60,26,22.8,3.9,9.8,0.393,1.6,4.5,0.36,2.2,5.3,0.421,0.476,1.1,1.4,0.793,0.4,2.4,2.9,1.5,0.8,0.2,1.2,1.7,10.4,0.463,10.7,0.8,-4.3,-1.1,11.2,1.0,0.139,-3.3,1.9,-1.0,10.2,1.7,10.2,6.4,0.501,22.0,-0.8,0.1,0.002,/players/m/manntr01.html,OKC,2.90124,0.421,0.772,0.521,0.335,0.7317073170731707,0.3170731707317073,0.4333333333333333,0,0,"[0.3043649868807211, 0.23848161935981818, 0.19487339753816602, 0.15184024382577468, 0.08106756103315689, 0.021593491219945575, 0.007778700142415861]",6-3,178,0.0,2.90124,0.3043649868807211
347,Boban Marjanović,C,33,23,0,5.6,1.8,3.0,0.6,0.0,0.2,0.25,1.8,2.9,0.621,0.607,0.6,1.0,0.591,0.3,1.3,1.7,0.1,0.0,0.1,0.7,1.0,4.3,0.057,4.8,2.1,-4.4,-1.2,27.0,0.2,0.314,-3.2,6.9,-0.1,18.5,0.0,15.8,16.9,0.615,33.3,-0.1,0.1,0.045,/players/m/marjabo01.html,DAL,3.5,0.444,0.794,0.529,0.393,0.2804878048780488,0.0,0.0,0,0,"[0.5056352420998037, 0.25364075044029666, 0.11820277581416222, 0.07635690805327429, 0.036474952540748375, 0.005197791817858343, 0.004491579233855167]",7-3,290,0.0,3.5,0.5056352420998037
348,Lauri Markkanen,PF,24,61,61,30.8,5.1,11.5,0.445,2.2,6.2,0.358,2.9,5.3,0.548,0.542,2.3,2.6,0.868,1.0,4.7,5.7,1.3,0.7,0.5,0.9,2.1,14.8,0.541,6.6,1.4,0.4,-0.1,16.5,2.3,0.226,0.4,3.5,2.7,14.7,1.2,6.5,10.2,0.582,19.5,1.1,5.0,0.127,/players/m/markkla01.html,CLE,15.690909,0.4,0.667,0.528,0.401,0.7439024390243902,0.7439024390243902,1.0,15,20,"[0.038125659645136506, 0.08555357762796685, 0.16542306054397415, 0.18457124599060654, 0.26773803937963936, 0.19032593797480868, 0.0682624788378686]",7-0,240,4.3090910000000004,15.690909,0.26773803937963936
349,Naji Marshall,SF,24,55,4,13.4,2.0,4.9,0.405,0.4,1.9,0.2,1.6,3.0,0.537,0.444,1.3,1.7,0.796,0.7,1.9,2.6,1.1,0.6,0.1,0.8,1.3,5.7,0.39,12.3,1.0,-3.2,-0.5,16.0,0.7,0.346,-2.7,5.6,0.0,12.3,2.2,12.9,10.7,0.505,20.8,-0.2,0.8,0.05,/players/m/marshna01.html,NOP,1.517981,0.405,0.823,0.523,0.363,0.6707317073170732,0.048780487804878,0.0727272727272727,0,0,"[0.5062526634914704, 0.2644685844676713, 0.11794468276253538, 0.0735736948335701, 0.03250049411861179, 0.0033012301855332793, 0.0019586501406070192]",6-7,220,0.0,1.517981,0.5062526634914704
350,Caleb Martin,SF,26,60,12,22.9,3.5,6.8,0.507,1.1,2.6,0.413,2.4,4.3,0.565,0.585,1.2,1.6,0.763,1.2,2.7,3.8,1.1,1.0,0.5,0.9,1.7,9.2,0.378,7.0,2.3,1.1,0.9,13.0,2.1,0.227,0.1,5.9,1.9,14.8,2.1,10.3,9.5,0.611,16.3,1.1,4.0,0.139,/players/m/martica02.html,MIA,0.527615,0.418,0.72,0.537,0.373,0.7317073170731707,0.1463414634146341,0.2,0,5,"[0.1766839776419023, 0.25723730867529293, 0.22895717821271697, 0.19529529790601563, 0.09713040965529834, 0.03430047004067706, 0.010395357868096304]",6-5,205,3.0,0.527615,0.25723730867529293
351,Cody Martin,SF,26,71,11,26.3,2.9,6.0,0.482,0.9,2.2,0.384,2.0,3.7,0.542,0.554,1.1,1.5,0.701,1.2,2.9,4.0,2.5,1.2,0.5,0.9,1.6,7.7,0.376,12.4,1.6,-0.5,0.7,11.7,1.5,0.253,-1.2,4.6,2.4,12.7,2.3,11.5,8.1,0.579,12.1,0.7,3.9,0.101,/players/m/martico01.html,CHO,1.782621,0.434,0.743,0.502,0.314,0.8658536585365854,0.1341463414634146,0.1549295774647887,0,5,"[0.23310347947438836, 0.26463846326456786, 0.21539284645463255, 0.1762046095672024, 0.07584602281038283, 0.02651289719457299, 0.008301681234252026]",6-5,205,3.0,1.782621,0.26463846326456786
352,Kelan Martin,SF,26,30,1,15.0,2.3,5.7,0.409,0.7,2.5,0.293,1.6,3.2,0.5,0.474,0.3,0.4,0.692,0.6,1.3,1.8,0.7,0.4,0.3,0.5,1.2,5.7,0.439,6.7,1.7,-3.6,-1.0,9.6,0.2,0.076,-2.6,4.1,-0.1,9.4,1.4,7.3,6.8,0.484,18.1,-0.2,0.0,0.005,/players/m/martike03.html,BOS,0.19186,0.477,0.636,0.599,0.436,0.3658536585365853,0.0121951219512195,0.0333333333333333,0,0,"[0.5162121075488235, 0.26801825329790263, 0.1152037426980603, 0.07040138805574846, 0.026974477156902352, 0.0019363204074787218, 0.0012537108350826403]",6-5,230,0.0,0.19186,0.5162121075488235
353,Kenyon Martin Jr.,SF,21,79,2,21.0,3.5,6.6,0.533,0.8,2.1,0.357,2.8,4.5,0.617,0.591,1.0,1.6,0.634,1.0,2.7,3.8,1.3,0.4,0.5,0.8,1.4,8.8,0.321,9.4,2.2,-1.2,-1.2,14.5,0.6,0.235,0.0,5.3,2.3,14.3,1.0,9.4,9.9,0.603,16.3,0.4,2.9,0.084,/players/m/martike04.html,HOU,1.517981,0.432,0.667,0.494,0.27,0.9634146341463414,0.024390243902439,0.0253164556962025,0,0,"[0.30301424956932477, 0.285268736267915, 0.1862108825611887, 0.1387062200443251, 0.06602111149103249, 0.015178588561809467, 0.005600211504403237]",6-6,215,0.0,1.517981,0.30301424956932477
354,Garrison Mathews,SG,25,65,33,26.3,2.8,7.1,0.399,2.1,5.9,0.36,0.7,1.2,0.6,0.55,2.2,2.8,0.794,0.5,2.4,2.9,1.0,0.9,0.4,0.6,2.6,10.0,0.837,5.3,1.3,-2.3,-1.0,10.2,0.5,0.39,-1.3,2.0,2.2,11.0,1.6,7.1,6.1,0.602,14.4,-0.1,2.8,0.078,/players/m/mathega01.html,HOU,2.0,0.517,0.66,0.552,0.0,0.7926829268292683,0.4024390243902439,0.5076923076923077,0,0,"[0.27965936365831096, 0.254747853369331, 0.20075180299230322, 0.15838086945583418, 0.07692893655492694, 0.02181944666470031, 0.007711727304592268]",6-5,215,0.0,2.0,0.27965936365831096
355,Dakota Mathias,SG,26,6,0,2.7,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0,1.0,8.0,0.0,0.3,1.7,13.4,0.0,0.0,-1.4,0.0,0.0,11.0,3.0,0.0,6.5,0.5,15.4,0.0,0.0,0.114,/players/m/mathida01.html,MEM,0.106352,0.378,0.826,0.531,0.363,0.073170731707317,0.0,0.0,0,0,"[0.5206099819521008, 0.2661499918703884, 0.11433299724865947, 0.06938150474641037, 0.026453874462703534, 0.0018521110017116912, 0.001219538718024423]",6-4,200,0.0,0.106352,0.5206099819521008
356,Wesley Matthews,SG,35,49,14,20.4,1.8,4.5,0.395,1.1,3.2,0.338,0.7,1.3,0.54,0.516,0.4,0.6,0.786,0.6,1.3,1.9,0.7,0.5,0.2,0.4,1.8,5.1,0.714,4.6,0.8,-3.3,-0.3,6.4,0.6,0.127,-3.0,3.2,0.6,6.9,1.1,7.2,4.9,0.536,10.7,-0.3,1.2,0.056,/players/m/matthwe02.html,MIL,1.958501,0.481,0.682,0.558,0.32,0.5975609756097561,0.1707317073170731,0.2857142857142857,0,0,"[0.4438220632720567, 0.2791190845717682, 0.14329275532865618, 0.08846858264653233, 0.03774541289868557, 0.005168719122256412, 0.002383382160044537]",6-4,220,0.0,1.958501,0.4438220632720567
357,Tyrese Maxey,PG,21,75,74,35.3,6.4,13.3,0.485,1.8,4.1,0.427,4.7,9.1,0.512,0.552,2.8,3.3,0.866,0.3,2.9,3.2,4.3,0.7,0.4,1.2,2.1,17.5,0.311,19.1,1.1,0.6,-0.7,8.9,1.9,0.247,1.3,1.1,5.4,16.2,1.0,7.4,5.1,0.594,20.2,1.8,7.3,0.132,/players/m/maxeyty01.html,PHI,2.60292,0.493,0.712,0.56,0.313,0.9146341463414634,0.902439024390244,0.9866666666666668,0,30,"[0.01900946339259998, 0.04918032529612079, 0.11032484118651449, 0.1306347945776099, 0.2312878632615286, 0.20517867985666088, 0.2543840324289671]",6-2,200,27.39708,2.60292,0.2543840324289671
358,Skylar Mays,SG,24,28,5,7.9,1.1,2.3,0.5,0.3,0.9,0.32,0.9,1.4,0.615,0.563,0.3,0.3,0.889,0.2,0.7,0.9,0.6,0.3,0.0,0.4,0.3,2.9,0.391,10.8,0.0,-2.0,-0.8,9.9,0.1,0.141,-1.2,2.5,0.2,11.7,1.6,12.8,6.2,0.589,15.5,0.0,0.3,0.061,/players/m/mayssk01.html,ATL,0.034231,0.374,0.8,0.499,0.348,0.3414634146341463,0.0609756097560975,0.1785714285714285,0,0,"[0.5114556252803326, 0.26735205331131723, 0.11790330087842286, 0.07183685479895979, 0.02802046991959034, 0.0021205771783131115, 0.001311118633063472]",6-4,205,0.0,0.034231,0.5114556252803326
359,Miles McBride,PG,21,40,2,9.3,0.8,2.7,0.296,0.4,1.7,0.25,0.4,1.0,0.375,0.375,0.2,0.3,0.667,0.1,1.0,1.1,1.0,0.4,0.0,0.1,1.1,2.2,0.63,15.9,0.3,-4.5,1.0,11.2,0.4,0.111,-5.5,1.1,-0.1,6.1,1.9,4.2,6.1,0.393,13.9,-0.2,0.2,0.032,/players/m/mcbrimi01.html,NYK,0.925258,0.405,0.639,0.473,0.359,0.4878048780487805,0.024390243902439,0.05,0,0,"[0.5205173111365347, 0.2660418954350782, 0.11423364846010171, 0.06956162048464976, 0.02656365904865171, 0.0018623267169581164, 0.001219538718024423]",6-2,200,0.0,0.925258,0.5205173111365347
360,Mac McClung,SG,23,2,0,12.5,1.5,3.0,0.5,0.5,1.5,0.333,1.0,1.5,0.667,0.583,0.5,0.5,1.0,0.0,1.5,1.5,0.5,0.5,0.5,1.5,2.5,4.0,0.5,5.2,3.6,-9.6,-1.2,12.9,0.0,0.167,-8.4,0.0,0.0,5.2,1.9,31.8,6.5,0.621,16.3,0.0,0.0,-0.043,/players/m/mccluma01.html,LAL,0.106352,0.411,0.645,0.464,0.184,0.024390243902439,0.0,0.0,0,0,"[0.5214944583858743, 0.26565651056211537, 0.11392637844019907, 0.06944954711607414, 0.02640145577599964, 0.0018521110017116912, 0.001219538718024423]",6-2,185,0.0,0.106352,0.5214944583858743
361,CJ McCollum,SG,30,62,62,34.6,8.6,18.8,0.46,2.9,7.6,0.388,5.7,11.2,0.509,0.539,1.9,2.7,0.682,0.9,3.5,4.3,5.1,1.1,0.4,2.0,2.0,22.1,0.403,26.1,1.0,1.9,-1.3,11.5,1.0,0.146,3.2,2.6,2.6,18.3,1.6,9.3,6.9,0.553,27.5,2.1,3.6,0.081,/players/m/mccolcj01.html,NOP,30.864198,0.418,0.698,0.5,0.255,0.7560975609756098,0.7560975609756098,1.0,30,30,"[0.014565592328131625, 0.043901388885117805, 0.08216499577622205, 0.09095996668688273, 0.18210963514833786, 0.19377124827971465, 0.3925271728955935]",6-3,190,0.0,30.864198,0.3925271728955935
362,T.J. McConnell,PG,29,27,8,24.1,3.7,7.7,0.481,0.4,1.2,0.303,3.3,6.5,0.514,0.505,0.7,0.9,0.826,0.7,2.6,3.3,4.9,1.1,0.4,1.1,2.0,8.5,0.159,28.7,1.3,0.9,1.4,12.2,0.4,0.111,-0.4,3.4,1.0,15.1,2.2,11.7,7.7,0.525,16.2,0.5,1.3,0.098,/players/m/mccontj01.html,IND,7.5,0.406,0.526,0.503,0.318,0.3292682926829268,0.0975609756097561,0.2962962962962963,5,5,"[0.26259923997337953, 0.26604630033833815, 0.2014889279957447, 0.1574892887678635, 0.08350740435625474, 0.02130540695804007, 0.007563431610377948]",6-1,190,0.0,7.5,0.26604630033833815
363,Jaden McDaniels,PF,21,70,31,25.8,3.6,7.9,0.46,1.1,3.6,0.317,2.5,4.3,0.579,0.532,0.8,1.0,0.803,1.1,3.1,4.2,1.1,0.7,0.8,1.1,3.2,9.2,0.455,6.1,2.9,-2.9,-0.1,13.2,1.7,0.128,-2.9,4.4,0.7,10.3,1.4,11.4,8.7,0.553,15.3,-0.4,2.4,0.065,/players/m/mcdanja02.html,MIN,2.06328,0.382,0.783,0.571,0.377,0.8536585365853658,0.3780487804878049,0.4428571428571428,0,0,"[0.2918102885819307, 0.25697074320700625, 0.1965207043313147, 0.1520693774592449, 0.0751253616527164, 0.02028175561763087, 0.007221769150154921]",6-9,185,0.0,2.06328,0.2918102885819307
364,Jalen McDaniels,SF,24,55,2,16.3,2.2,4.6,0.484,0.7,2.0,0.38,1.5,2.7,0.562,0.565,1.0,1.3,0.736,0.7,2.4,3.1,1.1,0.5,0.4,0.7,1.7,6.2,0.425,8.7,2.3,-2.3,-0.4,16.0,0.7,0.283,-1.9,4.3,1.0,12.7,1.4,11.2,10.1,0.595,15.3,-0.1,1.7,0.093,/players/m/mcdanja01.html,CHO,1.782621,0.447,0.7,0.529,0.462,0.6707317073170732,0.024390243902439,0.0363636363636363,0,0,"[0.48742808628735435, 0.2802317809990067, 0.12269479750249715, 0.07738990426570455, 0.028375419142807265, 0.0024671847445460163, 0.001412827058083195]",6-9,205,0.0,1.782621,0.48742808628735435
365,Doug McDermott,PF,30,51,51,24.0,4.2,9.1,0.462,2.1,5.0,0.422,2.1,4.1,0.512,0.578,0.8,1.0,0.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3,0.551,7.3,0.4,-2.5,-2.1,8.4,0.5,0.11,-0.4,1.5,1.1,11.4,0.5,8.1,4.9,0.593,18.3,-0.1,1.6,0.062,/players/m/mcderdo01.html,SAS,13.75,0.4,0.818,0.528,0.326,0.6219512195121951,0.6219512195121951,1.0,10,5,"[0.17174175767158176, 0.1953847150416643, 0.19516390971625347, 0.16806510890052553, 0.16540416668612615, 0.07617063948226127, 0.028069702501587735]",6-7,225,-3.75,13.75,0.1953847150416643
366,JaVale McGee,C,34,74,17,15.8,3.9,6.2,0.629,0.0,0.1,0.222,3.9,6.1,0.637,0.631,1.4,2.0,0.699,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,9.2,0.02,5.4,6.1,0.8,0.9,29.7,2.6,0.319,-0.1,15.3,2.4,22.6,0.9,15.8,22.7,0.651,22.8,0.8,4.9,0.201,/players/m/mcgeeja01.html,PHO,5.0,0.46,0.848,0.558,0.333,0.902439024390244,0.2073170731707317,0.2297297297297297,5,0,"[0.2852500376971002, 0.26531284748533246, 0.18304027210413562, 0.15778842210465074, 0.07391646527966783, 0.02582076073890127, 0.008871194590210168]",7-0,270,0.0,5.0,0.2852500376971002
367,Cameron McGriff,SF,24,3,0,15.3,1.7,4.7,0.357,0.7,2.0,0.333,1.0,2.7,0.375,0.429,0.7,0.7,1.0,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7,0.429,9.4,2.1,-4.0,-3.0,22.3,0.0,0.143,-1.0,13.8,0.1,12.5,0.0,0.0,17.9,0.47,14.0,0.0,0.1,0.097,/players/m/mcgrica01.html,POR,0.053176,0.374,0.633,0.493,0.336,0.0365853658536585,0.0,0.0,0,0,"[0.4937492931110977, 0.26519493952253365, 0.11926073633472553, 0.08013358590557271, 0.034295005184162175, 0.0049528382121728515, 0.0024136017297347935]",6-7,230,0.0,0.053176,0.4937492931110977
368,Rodney McGruder,SG,30,51,2,14.8,1.9,4.4,0.436,1.1,2.9,0.397,0.8,1.5,0.506,0.564,0.4,0.5,0.731,0.6,1.6,2.2,0.9,0.4,0.1,0.5,1.1,5.4,0.649,9.6,0.8,-1.4,-0.7,12.1,0.4,0.116,-0.7,4.2,0.7,11.6,1.4,9.2,8.0,0.577,14.8,0.1,1.2,0.075,/players/m/mcgruro01.html,DET,1.93935,0.418,0.705,0.495,0.297,0.6219512195121951,0.024390243902439,0.0392156862745098,0,0,"[0.44970318917741503, 0.2729682772897648, 0.12919391754688103, 0.09392469342366369, 0.0436446702700568, 0.007306416090291119, 0.00325883620192617]",6-4,205,0.0,1.93935,0.44970318917741503
369,Alfonzo McKinnie,SF,29,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2.0,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,0.443,3.2,1.3,-9.0,-3.4,10.9,0.1,0.131,-5.6,7.1,-0.2,5.6,0.5,9.8,9.0,0.457,15.3,-0.4,-0.1,-0.015,/players/m/mckinal01.html,CHI,1.293926,0.431,0.721,0.532,0.318,0.2073170731707317,0.0365853658536585,0.1764705882352941,0,0,"[0.5170414453137765, 0.26644314377357137, 0.11581448872589575, 0.07025265240085438, 0.027286024794319123, 0.0019220385345938356, 0.001240206456988243]",6-7,215,0.0,1.293926,0.5170414453137765
370,JaQuori McLaughlin,PG,24,4,0,2.8,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.5,22.3,0.0,-13.6,-4.2,0.0,0.0,0.0,-9.4,0.0,0.0,-2.9,0.0,0.0,0.0,0.0,8.2,0.0,0.0,-0.101,/players/m/mclauja01.html,DAL,0.0,0.445,0.797,0.569,0.48,0.048780487804878,0.0,0.0,0,0,"[0.5216634146652585, 0.2651980028130602, 0.11389157475917529, 0.06977910210204574, 0.026396255940722677, 0.0018521110017116912, 0.001219538718024423]",6-4,190,0.0,0.0,0.5216634146652585
371,Jordan McLaughlin,PG,25,62,3,14.5,1.4,3.2,0.44,0.4,1.4,0.318,1.0,1.9,0.53,0.508,0.5,0.6,0.75,0.4,1.2,1.5,2.9,0.9,0.2,0.6,0.9,3.8,0.425,26.1,1.1,0.4,1.6,8.8,1.0,0.2,-1.2,2.6,1.3,13.4,3.0,14.9,5.6,0.535,11.8,0.6,2.3,0.123,/players/m/mclaujo01.html,MIN,2.0,0.507,0.81,0.537,0.083,0.7560975609756098,0.0365853658536585,0.0483870967741935,0,0,"[0.45789720465573386, 0.2835356796245539, 0.13133580913643902, 0.08907341834529155, 0.03195689070892438, 0.0045336806591661115, 0.0016673168698910668]",5-11,185,0.0,2.0,0.45789720465573386
372,Ben McLemore,SG,28,64,6,20.1,3.4,8.4,0.401,2.4,6.5,0.362,1.0,1.9,0.533,0.541,1.1,1.4,0.818,0.2,1.4,1.6,0.9,0.6,0.2,0.9,1.6,10.2,0.774,7.3,0.8,-3.2,-2.5,8.1,0.2,0.163,-0.7,1.0,0.7,11.7,1.4,8.7,4.4,0.567,21.3,-0.4,0.8,0.031,/players/m/mclembe01.html,POR,2.389641,0.476,0.857,0.597,0.41,0.7804878048780488,0.073170731707317,0.09375,0,0,"[0.34146861434860876, 0.2617326935874198, 0.17310027361293828, 0.129779959300999, 0.07159608446548786, 0.01601490719682711, 0.006307467487718636]",6-3,195,0.0,2.389641,0.34146861434860876
373,De'Anthony Melton,SG,23,73,15,22.7,3.8,9.5,0.404,1.9,5.1,0.374,1.9,4.4,0.44,0.504,1.2,1.6,0.75,0.9,3.6,4.5,2.7,1.4,0.5,1.5,1.8,10.8,0.535,16.0,2.1,1.9,1.6,17.1,2.8,0.173,0.3,4.0,0.9,15.2,3.0,13.0,10.4,0.529,21.3,1.6,3.7,0.107,/players/m/meltode01.html,MEM,8.805976,0.591,0.563,0.599,0.0,0.8902439024390244,0.1829268292682926,0.2054794520547945,5,5,"[0.150231605161287, 0.23813591775049145, 0.23440898283833306, 0.21474874736394423, 0.10788098024937094, 0.04222115978033452, 0.012372606856238396]",6-2,200,0.0,8.805976,0.23813591775049145
374,Sam Merrill,SG,25,6,0,9.7,1.3,4.0,0.333,1.2,3.8,0.304,0.2,0.2,1.0,0.479,0.3,0.7,0.5,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2,0.958,9.0,0.0,-5.6,-3.4,11.1,0.0,0.167,-2.2,1.8,0.0,7.5,0.0,7.2,6.3,0.485,19.6,-0.1,0.0,0.029,/players/m/merrisa01.html,MEM,1.517981,0.584,0.742,0.616,0.091,0.073170731707317,0.0,0.0,0,0,"[0.5167166450818905, 0.2626012817449957, 0.11484493448993474, 0.0713482372890974, 0.03007499749016279, 0.0027551757922112366, 0.0016587281117066332]",6-4,205,0.0,1.517981,0.5167166450818905
375,Chimezie Metu,C,24,60,20,21.3,3.4,7.5,0.452,1.0,3.1,0.306,2.4,4.4,0.555,0.516,1.2,1.5,0.78,0.6,5.0,5.6,1.0,0.9,0.5,1.0,1.6,8.9,0.414,6.9,2.2,-1.5,0.1,25.9,1.4,0.203,-1.6,2.9,0.1,13.4,1.9,11.1,14.3,0.546,18.5,0.2,1.5,0.056,/players/m/metuch01.html,SAC,1.762796,0.374,0.604,0.458,0.263,0.7317073170731707,0.2439024390243902,0.3333333333333333,0,0,"[0.3644124509646923, 0.2817916527664469, 0.17403555851986818, 0.11525780105813194, 0.05213026910934089, 0.00885453401112501, 0.0035177335703945665]",6-9,225,0.0,1.762796,0.3644124509646923
376,Khris Middleton,SF,30,66,66,32.4,6.8,15.5,0.443,2.5,6.6,0.373,4.4,8.9,0.494,0.522,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,20.1,0.425,25.5,0.8,1.6,-0.3,15.3,2.2,0.285,1.9,2.1,3.2,18.1,1.7,14.2,8.8,0.577,26.7,1.9,5.3,0.119,/players/m/middlkh01.html,MIL,35.5,0.5,0.714,0.588,0.318,0.8048780487804879,0.8048780487804879,1.0,30,25,"[0.01828631473112671, 0.050496976772987444, 0.10332481175176023, 0.12068155070637372, 0.21861859442322737, 0.24600886433236963, 0.2425828872821551]",6-7,222,-5.5,35.5,0.24600886433236963
377,C.J. Miles,SG,34,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,-16.3,0.0,0.0,0.0,,-16.3,0.0,0.0,-7.8,0.0,,0.0,,0.0,0.0,0.0,0.03,/players/m/milescj01.html,BOS,0.151821,0.446,0.774,0.531,0.329,0.0121951219512195,0.0,0.0,0,0,"[0.5216634146652585, 0.2651980028130602, 0.11389157475917529, 0.06977910210204574, 0.026396255940722677, 0.0018521110017116912, 0.001219538718024423]",6-6,220,0.0,0.151821,0.5216634146652585
378,Patty Mills,PG,33,81,48,29.0,4.0,9.8,0.408,2.8,7.0,0.4,1.2,2.8,0.429,0.551,0.6,0.7,0.814,0.2,1.7,1.9,2.3,0.6,0.2,0.9,1.4,11.4,0.715,10.6,0.6,-1.7,-1.4,6.2,0.9,0.074,-0.3,0.9,1.9,10.4,1.1,8.2,3.6,0.563,16.4,0.2,2.8,0.058,/players/m/millspa02.html,BRK,5.89,0.42,0.8,0.511,0.29,0.9878048780487804,0.5853658536585366,0.5925925925925926,5,5,"[0.18699325258625638, 0.22344049468472424, 0.2163172085756924, 0.18639672038854524, 0.11877902138911242, 0.05196520470094165, 0.016108097674727595]",6-1,180,0.0,5.89,0.22344049468472424
379,Paul Millsap,PF,36,33,1,11.4,1.4,3.5,0.391,0.2,1.1,0.229,1.1,2.4,0.463,0.426,0.5,0.7,0.708,1.2,2.2,3.5,0.9,0.3,0.4,0.6,2.0,3.5,0.304,10.4,3.1,-3.4,0.3,20.7,0.5,0.209,-3.7,12.3,0.0,10.8,1.3,13.1,16.6,0.458,16.7,-0.1,0.5,0.061,/players/m/millspa01.html,PHI,2.641691,0.623,0.604,0.638,0.342,0.4024390243902439,0.0121951219512195,0.0303030303030303,0,0,"[0.5213657457842783, 0.265815398873261, 0.11399613606720488, 0.06938777180899862, 0.026358379767538107, 0.0018570289806933993, 0.001219538718024423]",6-7,257,0.0,2.641691,0.5213657457842783
